Ale;4.2
Alingsas;4.8
Alvesta;8.9
Aneby;5.8
Arboga;10.1
Arjeplog;5.2
Arvidsjaur;8.9
Arvika;6.2
Askersund;5.8
Avesta;12.8
Bengtsfors;13.1
Berg;7.3
Bjurholm;7.5
Bjuv;9.6
Boden;8
Bollebygd;3.6
Bollnas;11.8
Borgholm;7.2
Borlange;9.1
Boras;7.5
Botkyrka;11
Boxholm;5.6
Bromolla;9.3
Bracke;9.4
Burlov;10.1
Bastad;6.6
Dals-Ed;6.7
Danderyd;2.9
Degerfors;8.8
Dorotea;7.4
Eda;7
Ekero;2.6
Eksjo;7
Emmaboda;8.9
Enkoping;6.2
Eskilstuna;13.2
Eslov;8.5
Essunga;4.8
Fagersta;12.8
Falkenberg;7.2
Falkoping;9.1
Falun;6
Filipstad;14
Finspang;10.5
Flen;15
Forshaga;7
Fargelanda;8.1
Gagnef;4
Gislaved;8.1
Gnesta;5
Gnosjo;6.3
Gotland;6.2
Grums;8.5
Grastorp;5.2
Gullspang;10.9
Gallivare;5.1
Gavle;10.7
Goteborg;7.3
Gotene;5.9
Habo;2.5
Hagfors;7.7
Hallsberg;8.1
Hallstahammar;7.9
Halmstad;8.4
Hammaro;3.8
Haninge;7.2
Haparanda;13
Heby;5.5
Hedemora;9.5
Helsingborg;10.7
Herrljunga;4.3
Hjo;5.7
Hofors;9.2
Huddinge;6.6
Hudiksvall;7.5
Hultsfred;13.6
Hylte;11.9
Hallefors;12.7
Harjedalen;6.2
Harnosand;12
Harryda;3.2
Hassleholm;10
Habo;4.2
Hoganas;5.6
Hogsby;14.7
Horby;6.7
Hoor;5.6
Jokkmokk;8
Jarfalla;8.2
Jonkoping;5.5
Kalix;7
Kalmar;7.1
Karlsborg;7.2
Karlshamn;9.8
Karlskoga;9.1
Karlskrona;8.5
Karlstad;7.3
Katrineholm;11
Kil;5.9
Kinda;4.7
Kiruna;4.6
Klippan;8.5
Knivsta;3
Kramfors;11.3
Kristianstad;10.4
Kristinehamn;12.4
Krokom;5.6
Kumla;5.3
Kungsbacka;3.2
Kungsor;11.3
Kungalv;2.8
Kavlinge;4.6
Koping;9.6
Laholm;6.8
Landskrona;14.3
Laxa;9.3
Lekeberg;3.8
Leksand;5.1
Lerum;2.6
Lessebo;14.9
Lidingo;3.5
Lidkoping;5.3
Lilla Edet;5.6
Lindesberg;9
Linkoping;6.1
Ljungby;6.7
Ljusdal;10.3
Ljusnarsberg;12.8
Lomma;3.2
Ludvika;9.9
Lulea;6.2
Lund;6.2
Lycksele;7.6
Lysekil;6.2
Malmo;14.7
Malung;4.7
Mala;6.2
Mariestad;6.6
Mark;4.4
Markaryd;11.3
Mellerud;12.1
Mjolby;6.7
Mora;4.2
Motala;10.5
Mullsjo;4.6
Munkedal;6
Munkfors;10.5
Molndal;3.7
Monsteras;8.4
Morbylanga;4.6
Nacka;4.5
Nora;8.4
Norberg;10
Nordanstig;6.7
Nordmaling;8.8
Norrkoping;12.1
Norrtalje;4.3
Norsjo;7.3
Nybro;9.9
Nykvarn;3.5
Nykoping;8.1
Nynashamn;6.1
Nassjo;9.8
Ockelbo;12.1
Olofstrom;11
Orsa;7.9
Orust;3.9
Osby;8.3
Oskarshamn;6.7
Ovanaker;7.8
Oxelosund;12.6
Pajala;9.3
Partille;3.9
Perstorp;13
Pitea;6.5
Ragunda;10.8
Robertsfors;6.6
Ronneby;13.9
Rattvik;4.6
Sala;7.8
Salem;4.4
Sandviken;13.9
Sigtuna;6.9
Simrishamn;8.2
Sjobo;5.8
Skara;8.4
Skelleftea;6.5
Skinnskatteberg;7.7
Skurup;7.6
Skovde;6.5
Smedjebacken;4.6
Solleftea;11
Sollentuna;5.1
Solna;4.2
Sorsele;5.1
Sotenas;4.6
Staffanstorp;4.9
Stenungsund;3.6
Stockholm;6
Storfors;11.9
Storuman;6.1
Strangnas;6.3
Stromstad;6.2
Stromsund;11
Sundbyberg;6.4
Sundsvall;7.7
Sunne;6.1
Surahammar;7.6
Svalov;7.3
