Ale;1440
Alingsås;1489
Alvesta;764
Aneby;604
Arboga;1984
Arjeplog;2506
Arvidsjaur;2505
Arvika;1784
Askersund;1882
Avesta;2084
Bengtsfors;1460
Berg;2326
Bjurholm;2403
Bjuv;1260
Boden;2582
Bollebygd;1443
Bollnäs;2183
Borgholm;885
Borlänge;2081
Borås;1490
Botkyrka;127
Boxholm;560
Bromölla;1272
Bräcke;2305
Burlöv;1231
Båstad;1278
Dals-Ed;1438
Danderyd;162
Degerfors;1862
Dorotea;2425
Eda;1730
Ekerö;125
Eksjö;686
Emmaboda;862
Enköping;381
Eskilstuna;484
Eslöv;1285
Essunga;1445
Fagersta;1982
Falkenberg;1382
Falköping;1499
Falun;2080
Filipstad;1782
Finspång;562
Flen;482
Forshaga;1763
Färgelanda;1439
Gagnef;2026
Gislaved;662
Gnesta;461
Gnosjö;617
Gotland;980
Grums;1764
Grästorp;1444
Gullspång;1447
Gällivare;2523
Gävle;2180
Göteborg;1480
Götene;1471
Habo;643
Hagfors;1783
Hallsberg;1861
Hallstahammar;1961
Halmstad;1380
Hammarö;1761
Haninge;136
Haparanda;2583
Heby;331
Hedemora;2083
Helsingborg;1283
Herrljunga;1466
Hjo;1497
Hofors;2104
Huddinge;126
Hudiksvall;2184
Hultsfred;860
Hylte;1315
Håbo;305
Hällefors;1863
Härjedalen;2361
Härnösand;2280
Härryda;1401
Hässleholm;1293
Höganäs;1284
Högsby;821
Hörby;1266
Höör;1267
Jokkmokk;2510
Järfälla;123
Jönköping;680
Kalix;2514
Kalmar;880
Karlsborg;1446
Karlshamn;1082
Karlskoga;1883
Karlskrona;1080
Karlstad;1780
Katrineholm;483
Kil;1715
Kinda;513
Kiruna;2584
Klippan;1276
Knivsta;330
Kramfors;2282
Kristianstad;1290
Kristinehamn;1781
Krokom;2309
Kumla;1881
Kungsbacka;1384
Kungsör;1960
Kungälv;1482
Kävlinge;1261
Köping;1983
Laholm;1381
Landskrona;1282
Laxå;1860
Lekeberg;1814
Leksand;2029
Lerum;1441
Lessebo;761
Lidingö;186
Lidköping;1494
Lilla Edet;1462
Lindesberg;1885
Linköping;580
Ljungby;781
Ljusdal;2161
Ljusnarsberg;1864
Lomma;1262
Ludvika;2085
Luleå;2580
Lund;1281
Lycksele;2481
Lysekil;1484
Malmö;1280
Malung;2023
Malå;2418
Mariestad;1493
Mark;1463
Markaryd;767
Mellerud;1461
Mjölby;586
Mora;2062
Motala;583
Mullsjö;642
Munkedal;1430
Munkfors;1762
Mölndal;1481
Mönsterås;861
Mörbylånga;840
Nacka;182
Norberg;1962
Nora;1884
Nordanstig;2132
Nordmaling;2401
Norrköping;581
Norrtälje;188
Norsjö;2417
Nybro;881
Nykvarn;140
Nyköping;480
Nynäshamn;192
Nässjö;682
Ockelbo;2101
Olofström;1060
Orsa;2034
Orust;1421
Osby;1273
Oskarshamn;882
Ovanåker;2121
Oxelösund;481
Pajala;2521
Partille;1402
Perstorp;1275
Piteå;2581
Ragunda;2303
Robertsfors;2409
Ronneby;1081
Rättvik;2031
Sala;1981
Salem;128
Sandviken;2181
Sigtuna;191
Simrishamn;1291
Sjöbo;1265
Skara;1495
Skellefteå;2482
Skinnskatteberg;1904
Skurup;1264
Skövde;1496
Smedjebacken;2061
Sollefteå;2283
Sollentuna;163
Solna;184
Sorsele;2422
Sotenäs;1427
Staffanstorp;1230
Stenungsund;1415
Stockholm;180
Storfors;1760
Storuman;2421
Strängnäs;486
Strömstad;1486
Strömsund;2313
Sundbyberg;183
Sundsvall;2281
Sunne;1766
Surahammar;1907
Svalöv;1214
Svedala;1263
Svenljunga;1465
Säffle;1785
Säter;2082
Sävsjö;684
Söderhamn;2182
Söderköping;582
Södertälje;181
Sölvesborg;1083
Tanum;1435
Tibro;1472
Tidaholm;1498
Tierp;360
Timrå;2262
Tingsryd;763
Tjörn;1419
Tomelilla;1270
Torsby;1737
Torsås;834
Tranemo;1452
Tranås;687
Trelleborg;1287
Trollhättan;1488
Trosa;488
Tyresö;138
Täby;160
Töreboda;1473
Uddevalla;1485
Ulricehamn;1491
Umeå;2480
Upplands-Bro;139
Upplands Väsby;114
Uppsala;380
Uppvidinge;760
Vadstena;584
Vaggeryd;665
Valdemarsvik;563
Vallentuna;115
Vansbro;2021
Vara;1470
Varberg;1383
Vaxholm;187
Vellinge;1233
Vetlanda;685
Vilhelmina;2462
Vimmerby;884
Vindeln;2404
Vingåker;428
Vårgårda;1442
Vänersborg;1487
Vännäs;2460
Värmdö;120
Värnamo;683
Västervik;883
Västerås;1980
Växjö;780
Ydre;512
Ystad;1286
Åmål;1492
Ånge;2260
Åre;2321
Årjäng;1765
Åsele;2463
Åstorp;1277
Åtvidaberg;561
Älmhult;765
Älvdalen;2039
Älvkarleby;319
Älvsbyn;2560
Ängelholm;1292
Öckerö;1407
Ödeshög;509
Örebro;1880
Örkelljunga;1257
Örnsköldsvik;2284
Östersund;2380
Österåker;117
Östhammar;382
Östra Göinge;1256
Överkalix;2513
Övertorneå;2518
