region;civil;age;gender;pop
;;;;
;;;;2017
0114 Upplands Väsby;ogifta;20-24 år;män;1296
;;;kvinnor;1180
;;25-29 år;män;1356
;;;kvinnor;1058
;;30-34 år;män;942
;;;kvinnor;658
;;35-39 år;män;658
;;;kvinnor;506
;;40-44 år;män;627
;;;kvinnor;495
;;45-49 år;män;528
;;;kvinnor;409
;;50-54 år;män;487
;;;kvinnor;366
;;55-59 år;män;291
;;;kvinnor;248
;;60-64 år;män;201
;;;kvinnor;183
;gifta;20-24 år;män;29
;;;kvinnor;94
;;25-29 år;män;203
;;;kvinnor;404
;;30-34 år;män;565
;;;kvinnor;732
;;35-39 år;män;825
;;;kvinnor;801
;;40-44 år;män;826
;;;kvinnor;838
;;45-49 år;män;894
;;;kvinnor;857
;;50-54 år;män;844
;;;kvinnor;765
;;55-59 år;män;652
;;;kvinnor;580
;;60-64 år;män;601
;;;kvinnor;529
;skilda;20-24 år;män;2
;;;kvinnor;10
;;25-29 år;män;33
;;;kvinnor;51
;;30-34 år;män;74
;;;kvinnor;122
;;35-39 år;män;132
;;;kvinnor;202
;;40-44 år;män;179
;;;kvinnor;242
;;45-49 år;män;232
;;;kvinnor;325
;;50-54 år;män;293
;;;kvinnor;339
;;55-59 år;män;263
;;;kvinnor;318
;;60-64 år;män;225
;;;kvinnor;273
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;1
;;25-29 år;män;0
;;;kvinnor;1
;;30-34 år;män;0
;;;kvinnor;3
;;35-39 år;män;1
;;;kvinnor;7
;;40-44 år;män;2
;;;kvinnor;7
;;45-49 år;män;5
;;;kvinnor;15
;;50-54 år;män;5
;;;kvinnor;21
;;55-59 år;män;6
;;;kvinnor;39
;;60-64 år;män;15
;;;kvinnor;65
0115 Vallentuna;ogifta;20-24 år;män;957
;;;kvinnor;768
;;25-29 år;män;740
;;;kvinnor;617
;;30-34 år;män;527
;;;kvinnor;404
;;35-39 år;män;479
;;;kvinnor;426
;;40-44 år;män;416
;;;kvinnor;345
;;45-49 år;män;338
;;;kvinnor;296
;;50-54 år;män;333
;;;kvinnor;310
;;55-59 år;män;258
;;;kvinnor;195
;;60-64 år;män;141
;;;kvinnor;107
;gifta;20-24 år;män;4
;;;kvinnor;21
;;25-29 år;män;96
;;;kvinnor;162
;;30-34 år;män;318
;;;kvinnor;451
;;35-39 år;män;537
;;;kvinnor;686
;;40-44 år;män;814
;;;kvinnor;817
;;45-49 år;män;809
;;;kvinnor;783
;;50-54 år;män;732
;;;kvinnor;669
;;55-59 år;män;540
;;;kvinnor;530
;;60-64 år;män;494
;;;kvinnor;448
;skilda;20-24 år;män;0
;;;kvinnor;1
;;25-29 år;män;4
;;;kvinnor;13
;;30-34 år;män;22
;;;kvinnor;30
;;35-39 år;män;63
;;;kvinnor;96
;;40-44 år;män;94
;;;kvinnor;141
;;45-49 år;män;166
;;;kvinnor;214
;;50-54 år;män;197
;;;kvinnor;228
;;55-59 år;män;170
;;;kvinnor;196
;;60-64 år;män;167
;;;kvinnor;167
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;0
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;0
;;;kvinnor;1
;;35-39 år;män;0
;;;kvinnor;3
;;40-44 år;män;1
;;;kvinnor;6
;;45-49 år;män;8
;;;kvinnor;15
;;50-54 år;män;5
;;;kvinnor;10
;;55-59 år;män;13
;;;kvinnor;18
;;60-64 år;män;9
;;;kvinnor;32
0117 Österåker;ogifta;20-24 år;män;1238
;;;kvinnor;955
;;25-29 år;män;1022
;;;kvinnor;789
;;30-34 år;män;733
;;;kvinnor;578
;;35-39 år;män;623
;;;kvinnor;443
;;40-44 år;män;548
;;;kvinnor;504
;;45-49 år;män;536
;;;kvinnor;435
;;50-54 år;män;486
;;;kvinnor;365
;;55-59 år;män;277
;;;kvinnor;218
;;60-64 år;män;217
;;;kvinnor;149
;gifta;20-24 år;män;9
;;;kvinnor;30
;;25-29 år;män;122
;;;kvinnor;243
;;30-34 år;män;416
;;;kvinnor;530
;;35-39 år;män;684
;;;kvinnor;717
;;40-44 år;män;936
;;;kvinnor;1021
;;45-49 år;män;1101
;;;kvinnor;1126
;;50-54 år;män;998
;;;kvinnor;866
;;55-59 år;män;702
;;;kvinnor;653
;;60-64 år;män;606
;;;kvinnor;666
;skilda;20-24 år;män;0
;;;kvinnor;1
;;25-29 år;män;8
;;;kvinnor;13
;;30-34 år;män;27
;;;kvinnor;51
;;35-39 år;män;55
;;;kvinnor;99
;;40-44 år;män;129
;;;kvinnor;195
;;45-49 år;män;227
;;;kvinnor;273
;;50-54 år;män;293
;;;kvinnor;341
;;55-59 år;män;254
;;;kvinnor;238
;;60-64 år;män;197
;;;kvinnor;224
;änkor/änklingar;20-24 år;män;0
;;;kvinnor;1
;;25-29 år;män;0
;;;kvinnor;0
;;30-34 år;män;0
;;;kvinnor;0
;;35-39 år;män;1
;;;kvinnor;1
;;40-44 år;män;0
;;;kvinnor;3
;;45-49 år;män;1
;;;kvinnor;9
;;50-54 år;män;8
;;;kvinnor;21
;;55-59 år;män;14
;;;kvinnor;28
;;60-64 år;män;16
;;;kvinnor;44
0120 Värmdö;ogifta;20-24 år;män;1124
;;;kvinnor;1018
;;25-29 år;män;1037
;;;kvinnor;863
;;30-34 år;män;709
;;;kvinnor;633
;;35-39 år;män;572
;;;kvinnor;518
;;40-44 år;män;614
;;;kvinnor;493
;;45-49 år;män;495
;;;kvinnor;509
;;50-54 år;män;499
;;;kvinnor;438
;;55-59 år;män;351
;;;kvinnor;295
;;60-64 år;män;267
;;;kvinnor;164
;gifta;20-24 år;män;10
;;;kvinnor;27
;;25-29 år;män;98
;;;kvinnor;188
;;30-34 år;män;358
;;;kvinnor;492
;;35-39 år;män;634
;;;kvinnor;736
;;40-44 år;män;908
;;;kvinnor;963
;;45-49 år;män;1035
;;;kvinnor;1054
;;50-54 år;män;954
;;;kvinnor;915
;;55-59 år;män;704
;;;kvinnor;668
;;60-64 år;män;667
;;;kvinnor;605
;skilda;20-24 år;män;0
;;;kvinnor;2
;;25-29 år;män;8
;;;kvinnor;21
;;30-34 år;män;24
;;;kvinnor;49
;;35-39 år;män;46
;;;kvinnor;97
;;40-44 år;män;134
;;;kvinnor;177
;;45-49 år;män;207
;;;kvinnor;288
;;50-54 år;män;277
